Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
SVM,0.9946428571428572,0.9946470630219113,0.9996569591836735,0.9996087008255004,16.858882427215576,0.46660518646240234,14000,OPENAI,0.0333289418901716
LogisticRegression,0.9948571428571429,0.9948608137044967,0.9995760612244897,0.9995263828576457,5.719059467315674,0.08905601501464844,14000,OPENAI,0.006361143929617746
SVM,0.9867857142857143,0.9868092691622103,0.9980378469387755,0.9974650988577016,36.848204612731934,1.662796974182129,14000,QWEN3,0.11877121244158063
LogisticRegression,0.9863571428571428,0.9863717445594007,0.9978932551020409,0.9973788858440444,22.052417039871216,0.6456894874572754,14000,QWEN3,0.04612067767551967
XGBoost,0.9834285714285714,0.9835460992907802,0.9976371020408163,0.9970374836758196,13.423190832138062,0.00881195068359375,14000,OPENAI,0.000629425048828125
LightGBM,0.9669285714285715,0.9672305187911387,0.9937049285714287,0.992565207855584,5.327357292175293,0.01396632194519043,14000,OPENAI,0.0009975944246564594
XGBoost,0.9522142857142857,0.9529171651770005,0.9880182857142856,0.9855022226278597,24.285847187042236,0.09115481376647949,14000,QWEN3,0.006511058126177106
RandomForest,0.9459285714285715,0.9468286858186415,0.9861157448979591,0.9835416720744989,7.997817039489746,0.07501769065856934,14000,OPENAI,0.005358406475612096
LightGBM,0.9234285714285714,0.9255658936258853,0.9763474387755103,0.9725000765359659,9.440053224563599,0.10064530372619629,14000,QWEN3,0.007188950266156878
XGBoost,0.8959285714285714,0.8971408400988351,0.9619846632653061,0.9550372037155226,4.393604516983032,0.003124713897705078,14000,MINILM,0.000223193849836077
RandomForest,0.8921428571428571,0.8989425779681435,0.9615744795918366,0.9559247508216372,10.576124429702759,0.1428685188293457,14000,QWEN3,0.010204894202096122
LightGBM,0.8559285714285715,0.858207381370826,0.9337488775510203,0.9265415950180169,1.5065093040466309,0.006860256195068359,14000,MINILM,0.0004900182996477399
RandomForest,0.8490714285714286,0.852475040145221,0.9258207959183674,0.9171075158126156,3.9661784172058105,0.04313349723815918,14000,MINILM,0.0030809640884399414
LogisticRegression,0.8237142857142857,0.8236134934248142,0.8935075816326531,0.8739306358457228,4.637331008911133,0.02009415626525879,14000,MINILM,0.0014352968760899135
SVM,0.8233571428571429,0.8232940335834227,0.8931954387755102,0.8743438889540364,11.26388168334961,0.10968613624572754,14000,MINILM,0.007834724017551966
