Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
SVM,0.9935714285714285,0.9935750999428897,0.9994166734693878,0.9993433557013948,17.424310207366943,0.5066506862640381,14000,OPENAI,0.036189334733145576
LogisticRegression,0.9931428571428571,0.9931457946594316,0.9993425306122449,0.9992507158103563,6.950604677200317,0.08301019668579102,14000,OPENAI,0.005929299763270787
SVM,0.9799285714285715,0.9799214005001786,0.9966840306122449,0.995924075944991,48.4146683216095,1.611628770828247,14000,QWEN3,0.11511634077344622
LogisticRegression,0.9798571428571429,0.979839862739491,0.9966424591836733,0.995787035234065,29.14089035987854,0.6189675331115723,14000,QWEN3,0.04421196665082659
XGBoost,0.9778571428571429,0.9780297661233168,0.9964010408163264,0.9955404564629358,12.450815916061401,0.004873514175415039,14000,OPENAI,0.0003481081553867885
LightGBM,0.9557142857142857,0.9560346050205645,0.9903613979591835,0.9888896232922348,5.197110652923584,0.018033981323242188,14000,OPENAI,0.0012881415230887277
RandomForest,0.9397142857142857,0.9407968574635241,0.9837842857142857,0.9813167570635404,8.058867931365967,0.0744776725769043,14000,OPENAI,0.005319833755493164
XGBoost,0.9414285714285714,0.9420985736477898,0.9829283163265305,0.979243077829271,22.673435926437378,0.0961298942565918,14000,QWEN3,0.006866421018327985
LightGBM,0.9047142857142857,0.9069475446428571,0.9666160102040816,0.961301143634444,10.675654888153076,0.14203429222106934,14000,QWEN3,0.010145306587219238
RandomForest,0.8935714285714286,0.8995686168778646,0.9596903571428571,0.9536631857564815,10.56057357788086,0.36608171463012695,14000,QWEN3,0.026148693902151927
XGBoost,0.8903571428571428,0.8914196788569003,0.9594111326530612,0.954705638797153,4.327290773391724,0.0026900768280029297,14000,MINILM,0.00019214834485735212
LightGBM,0.8502857142857143,0.8530566461020751,0.9298451836734694,0.9234241461182477,1.456263780593872,0.007584810256958008,14000,MINILM,0.0005417721612112863
RandomForest,0.8484285714285714,0.8519810267857143,0.9227204897959184,0.9135711650120272,4.029279470443726,0.04132342338562012,14000,MINILM,0.0029516730989728656
LogisticRegression,0.8198571428571428,0.8198314044863552,0.8888845408163266,0.8694671812831358,4.511006116867065,0.024315834045410156,14000,MINILM,0.0017368452889578684
SVM,0.8176428571428571,0.8171072426391576,0.8887397857142858,0.869936549231771,14.352071523666382,0.14137649536132812,14000,MINILM,0.010098321097237722
