Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
SVM,0.5960714285714286,0.6302229778329955,0.6552895714285714,0.6581427649183247,7824.828862905502,1.8379416465759277,14000,QWEN3,0.13128154618399485
SVM,0.591,0.6296248382923674,0.6427874387755101,0.6433986901097479,213.08223032951355,0.449554443359375,14000,OPENAI,0.03211103166852679
SVM,0.5503571428571429,0.5904092654043854,0.5749455816326531,0.571196581608258,15.143203258514404,0.12782835960388184,14000,MINILM,0.009130597114562988
LogisticRegression,0.44992857142857146,0.39021300182120516,0.42573166326530615,0.4426636548329973,2.6646249294281006,0.02225208282470703,14000,MINILM,0.0015894344874790736
RandomForest,0.43157142857142855,0.40084324649902126,0.39454083673469387,0.42278893225324266,3.9808921813964844,0.07277894020080566,14000,OPENAI,0.005198495728628977
XGBoost,0.4273571428571429,0.4308129215477458,0.3938800816326531,0.4260921168852423,5.300574541091919,0.004667043685913086,14000,OPENAI,0.0003333602632795061
LightGBM,0.42864285714285716,0.4234954954954955,0.3936241020408163,0.4238616282621377,4.066356897354126,0.0076863765716552734,14000,OPENAI,0.0005490268979753767
RandomForest,0.4184285714285714,0.3612113604268006,0.37290107142857143,0.4109225690947119,4.30249810218811,0.14628863334655762,14000,QWEN3,0.010449188096182687
XGBoost,0.4144285714285714,0.36370692331574045,0.367443,0.4088857015499131,9.863611936569214,0.10105514526367188,14000,QWEN3,0.007218224661690848
RandomForest,0.41235714285714287,0.3556042923161275,0.3633634081632653,0.4055713672476668,1.2121737003326416,0.24474239349365234,14000,MINILM,0.01748159953526088
LightGBM,0.4125,0.3504698728579326,0.3632770408163265,0.405767001163132,7.901910305023193,0.10422039031982422,14000,QWEN3,0.007444313594273159
LogisticRegression,0.409,0.3416613621896881,0.3577539591836735,0.402920017582102,25.727805852890015,0.09424757957458496,14000,OPENAI,0.006731969969613211
XGBoost,0.40664285714285714,0.37263046597689,0.351166275510204,0.39933948663312047,1.8718688488006592,0.0027587413787841797,14000,MINILM,0.0001970529556274414
LightGBM,0.40485714285714286,0.3682135274491962,0.3492613571428571,0.39819840642554727,1.2451603412628174,0.005941867828369141,14000,MINILM,0.0004244191305977958
LogisticRegression,0.4020714285714286,0.33516003494559604,0.34374694897959185,0.3951544202536219,55.28520894050598,0.6614267826080322,14000,QWEN3,0.04724477018628801
