Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
SVM,0.9936428571428572,0.9936541889483066,0.9997386734693877,0.9997354223705535,21.711076259613037,1.65016508102417,14000,QWEN3,0.11786893435886928
LogisticRegression,0.9905714285714285,0.9905982905982906,0.9995288979591838,0.9995109880487754,9.81700849533081,0.5911600589752197,14000,QWEN3,0.04222571849822998
XGBoost,0.9832142857142857,0.9833581191133772,0.9988465306122449,0.9988389697722925,23.46151375770569,0.10439491271972656,14000,QWEN3,0.007456779479980469
LightGBM,0.9595714285714285,0.9599150141643059,0.9938208775510204,0.993680823672037,8.959040403366089,0.09738659858703613,14000,QWEN3,0.006956185613359723
XGBoost,0.9582857142857143,0.9592520234440413,0.9926283469387754,0.992100988494385,4.235831260681152,0.002723217010498047,14000,MINILM,0.0001945155007498605
RandomForest,0.9357142857142857,0.9356407322654462,0.9865842448979592,0.9870595133305142,10.584206342697144,0.18291425704956055,14000,QWEN3,0.013065304074968611
LightGBM,0.9198571428571428,0.922331441229406,0.9779338367346939,0.9771094797628057,1.4035851955413818,0.0072896480560302734,14000,MINILM,0.0005206891468593053
RandomForest,0.9131428571428571,0.9147623720734613,0.9773719081632654,0.9772895224278239,4.153098106384277,0.04723978042602539,14000,MINILM,0.003374270030430385
LogisticRegression,0.8619285714285714,0.8630728908408302,0.9417525612244898,0.93879599687463,2.5015859603881836,0.03657245635986328,14000,MINILM,0.002612318311418806
SVM,0.8636428571428572,0.865040650406504,0.941595581632653,0.9375232663528228,5.942589044570923,0.0914311408996582,14000,MINILM,0.006530795778547015
