Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
SVM,0.9935,0.9935134364530616,0.999648224489796,0.9996011199127182,23.706743001937866,1.6434130668640137,14000,QWEN3,0.11738664763314384
LogisticRegression,0.9902857142857143,0.9903120102578715,0.9993349591836735,0.9992337381219496,12.059370040893555,0.6656973361968994,14000,QWEN3,0.047549809728349955
XGBoost,0.9828571428571429,0.9830484531713519,0.9988230612244898,0.9988123287017958,27.55256938934326,0.10677337646484375,14000,QWEN3,0.007626669747488839
LightGBM,0.9557142857142857,0.9561155152887882,0.9927187346938775,0.9926857256179905,10.124030351638794,0.09874105453491211,14000,QWEN3,0.007052932466779436
XGBoost,0.9582142857142857,0.9591394845288818,0.9923424489795918,0.9916871138763288,4.281997442245483,0.0037279129028320312,14000,MINILM,0.00026627949305943076
RandomForest,0.9359285714285714,0.9363423461784117,0.9875683673469388,0.9879765316350813,29.51386260986328,0.28167295455932617,14000,QWEN3,0.020119496754237583
LightGBM,0.9204285714285714,0.9229598893499309,0.9785520102040817,0.9777871032372247,1.7994413375854492,0.00722193717956543,14000,MINILM,0.0005158526556832449
RandomForest,0.9118571428571428,0.9139470013947001,0.9775268265306124,0.9776189952637099,4.500670433044434,0.04791998863220215,14000,MINILM,0.003422856330871582
LogisticRegression,0.8683571428571428,0.869355639044446,0.9463357448979594,0.9439050455837428,3.8262526988983154,0.03406095504760742,14000,MINILM,0.0024329253605433875
SVM,0.8692857142857143,0.8704699886749717,0.9461996020408164,0.942697399521995,7.727529525756836,0.08938741683959961,14000,MINILM,0.006384815488542829
