Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
XGBoost,0.9975714285714286,0.9975773122416988,0.9999992448979592,0.999999245542622,10.137294292449951,0.01399087905883789,14000,OPENAI,0.0009993485042027064
RandomForest,0.9966428571428572,0.9966334789771506,0.9999835510204081,0.9999834792159719,5.361876487731934,0.07429075241088867,14000,OPENAI,0.0053064823150634766
XGBoost,0.997,0.9970089730807578,0.9999824897959184,0.9999818110390964,21.763423442840576,0.09205985069274902,14000,QWEN3,0.0065757036209106445
XGBoost,0.9955714285714286,0.9955909543450434,0.9999807551020408,0.9999803348867644,3.5639307498931885,0.0028884410858154297,14000,MINILM,0.00020631722041538782
RandomForest,0.9975714285714286,0.9975679542203147,0.9999782857142856,0.9999781827296206,6.854264974594116,0.1380460262298584,14000,QWEN3,0.009860430444989885
LightGBM,0.9932857142857143,0.9933219664677465,0.9998564081632653,0.9998553237843726,5.17360782623291,0.011279821395874023,14000,OPENAI,0.0008057015282767159
RandomForest,0.9907857142857143,0.9907467183128901,0.9997121632653061,0.999711988433147,2.61393141746521,0.04760313034057617,14000,MINILM,0.003400223595755441
LightGBM,0.9936428571428572,0.9936758331556882,0.9996272653061224,0.9995952550632051,9.268644332885742,0.09939885139465332,14000,QWEN3,0.007099917956760952
SVM,0.9945,0.9945261960617047,0.9992437346938775,0.9991075407673436,331.8006100654602,1.6398627758026123,14000,QWEN3,0.1171330554144723
LightGBM,0.988,0.9880749574105622,0.9990950816326531,0.9990490503745667,1.6206207275390625,0.010021209716796875,14000,MINILM,0.0007158006940569196
LogisticRegression,0.9935714285714285,0.9936106772682096,0.9989208367346939,0.9987789227349592,9.99985647201538,0.6352131366729736,14000,QWEN3,0.0453723669052124
SVM,0.9907142857142858,0.9907735982966643,0.9986618775510205,0.9983816321671362,216.69267916679382,0.4772629737854004,14000,OPENAI,0.034090212413242886
LogisticRegression,0.9918571428571429,0.9919217687074829,0.9979338571428572,0.9975336248189788,6.336100339889526,0.08586978912353516,14000,OPENAI,0.006133556365966797
LogisticRegression,0.9450714285714286,0.9452474190103239,0.9874410408163266,0.9866629344163452,1.6576581001281738,0.02007317543029785,14000,MINILM,0.0014337982450212752
SVM,0.9477857142857142,0.9480344067676122,0.9858111632653062,0.9831702088360942,14.564182758331299,0.11671209335327148,14000,MINILM,0.008336578096662248
