Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
SVM,0.9565714285714285,0.9564469914040115,0.9921542857142857,0.9928282023511448,20.78151226043701,0.47495126724243164,14000,OPENAI,0.03392509051731655
LogisticRegression,0.9560714285714286,0.9560808398200386,0.9920333469387755,0.9926976318628608,9.528776407241821,0.09014558792114258,14000,OPENAI,0.0064389705657958984
SVM,0.9378571428571428,0.9370841770321088,0.9849076326530611,0.9866131005117277,52.46973276138306,1.8028409481048584,14000,QWEN3,0.12877435343606133
LogisticRegression,0.9376428571428571,0.9372168284789644,0.9847823469387755,0.9865177013830875,27.450162649154663,0.7401502132415771,14000,QWEN3,0.05286787237439837
XGBoost,0.8932142857142857,0.8905002563539149,0.9630034489795919,0.9664245568368883,18.038310766220093,0.015777111053466797,14000,OPENAI,0.0011269365038190568
LightGBM,0.8754285714285714,0.8719718103068566,0.949782081632653,0.9535205250876623,5.982316970825195,0.015074491500854492,14000,OPENAI,0.001076749392918178
RandomForest,0.8435714285714285,0.838328657906393,0.927972387755102,0.9301968587257514,8.445021390914917,0.11395096778869629,14000,OPENAI,0.008139354842049735
XGBoost,0.8382142857142857,0.8328289910694516,0.9195818877551021,0.9270364075832549,28.784967184066772,0.09894919395446777,14000,QWEN3,0.0070677995681762695
LightGBM,0.8161428571428572,0.8091919940696812,0.9005165510204082,0.9103127151317592,12.753312826156616,0.13898348808288574,14000,QWEN3,0.00992739200592041
RandomForest,0.7638571428571429,0.7615750757247944,0.8537846326530613,0.862747755770067,11.563771724700928,0.21654176712036133,14000,QWEN3,0.015467269080025808
XGBoost,0.7158571428571429,0.7106067219554779,0.8044524285714285,0.8182919861951196,4.5665459632873535,0.003820657730102539,14000,MINILM,0.0002729041235787528
SVM,0.721,0.7157205240174672,0.7999608877551021,0.8097679217156382,10.898051023483276,0.09163403511047363,14000,MINILM,0.006545288222176688
LogisticRegression,0.7213571428571428,0.716146401804555,0.7996280306122449,0.8101281462567839,3.525134325027466,0.028517961502075195,14000,MINILM,0.0020369972501482285
LightGBM,0.7126428571428571,0.7069706460776458,0.7974469387755102,0.808369284493415,2.021526336669922,0.008274078369140625,14000,MINILM,0.0005910055977957589
RandomForest,0.6953571428571429,0.6958134227230582,0.7799406020408164,0.7842825173259245,4.591909646987915,0.06266140937805176,14000,MINILM,0.004475814955575126
