Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
SVM,0.9045,0.9030667730007975,0.9685669387755103,0.9724435678337836,61.14827060699463,1.6668410301208496,14000,QWEN3,0.1190600735800607
LogisticRegression,0.9032142857142857,0.9022295980951006,0.9681831836734693,0.9720751562699298,26.208332538604736,0.6552839279174805,14000,QWEN3,0.0468059948512486
XGBoost,0.8010714285714285,0.7967894928858081,0.887237887755102,0.8986311329348877,20.657707452774048,0.13010597229003906,14000,QWEN3,0.00929328373500279
LightGBM,0.7891428571428571,0.7812685240071132,0.8728172244897959,0.8838986407824063,9.801167488098145,0.13120436668395996,14000,QWEN3,0.009371740477425712
RandomForest,0.7353571428571428,0.7346938775510204,0.8250203673469388,0.8320517796294311,10.70952844619751,0.1954948902130127,14000,QWEN3,0.013963920729500907
XGBoost,0.7074285714285714,0.7024553247130612,0.7907764183673469,0.7979845056905344,2.478898525238037,0.002451658248901367,14000,MINILM,0.00017511844635009766
SVM,0.7120714285714286,0.7067723867025533,0.7897795408163265,0.799669678003136,9.461768865585327,0.09080076217651367,14000,MINILM,0.006485768726893834
LogisticRegression,0.7122142857142857,0.706960506218634,0.789473806122449,0.7999589390503725,3.3661961555480957,0.022755861282348633,14000,MINILM,0.0016254186630249023
LightGBM,0.7058571428571428,0.699766695829688,0.7848944591836735,0.794951225016796,1.3092718124389648,0.005749940872192383,14000,MINILM,0.0004107100622994559
RandomForest,0.6834285714285714,0.6831569917071776,0.7609405,0.7653709667313706,4.397301912307739,0.04740190505981445,14000,MINILM,0.003385850361415318
